metric,value
AP_mean_over_mu,0.2367336004972458
AP@mu_0.2,0.03623436391353607
AP@mu_0.4,0.12885139882564545
AP@mu_0.6,0.21785448491573334
AP@mu_0.8,0.2946297228336334
AP@mu_1.0,0.3516410291194916
AP@mu_1.2,0.3911905586719513
